ID,pKi,Smiles
CHEMBL3685195,8.7,O=C(Nc1ccc(Cl)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCOCC1
CHEMBL3685132,8.15,Cn1ccc(Oc2ccc3cc(NC(=O)C4CC4)ncc3c2)n1
CHEMBL3685135,7.96,O=C(Nc1cc2ccc(-c3ccc4cn[nH]c4c3)cc2cn1)C1CC1
CHEMBL3685092,9.1,CC(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685139,9.52,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685061,7.89,Cc1nc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cs1
CHEMBL3689554,10.7,Cc1c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cnc(CO)c1F
CHEMBL3689547,9.7,Cc1ccc(NC(=O)C2CN(C)CCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL2397803,5.88,ClC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccc(Br)cc1
CHEMBL3685023,10.4,O=C(Nc1cc2ccc(-c3cc(O)ccc3Cl)cc2cn1)C1CC1
CHEMBL3689663,9,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(-c2cnccc2C)n1
CHEMBL270454,6.04,O=C(Nc1nnc(SCc2ccccc2)s1)c1ccccc1Cl
CHEMBL2397800,5.84,Fc1cccc(Nc2ncnc3c2cnn3CC(Cl)c2ccccc2)c1
CHEMBL3685140,9.15,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689601,8.7,Cc1ccc(NC(=O)N2CCS(=O)(=O)CC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689650,9,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(C#N)n1
CHEMBL210766,6.1,O=C1NN(c2ccc(I)cc2)C(=O)C1=Cc1ccc(I)cc1
CHEMBL3689685,7.77,Cc1cc2cc(NC(=O)C3CC3)ncc2nc1-c1cc(F)ccc1Cl
CHEMBL3639839,7.24,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)c3cccc(F)c3)ncc2c1
CHEMBL415264,6.43,CSc1nc(NCCc2ccc(C)cc2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3689708,9.26,O=C(Nc1cc2ccc(-c3ccccc3F)cc2cn1)C1CC1
CHEMBL3689565,9.375,Cc1ccc(NC(=O)C2COCCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689722,10.73,Cc1c(F)cncc1-c1ccc2cc(NC(=O)C3CC3F)ncc2c1
CHEMBL3685089,10.52,Cc1c(O)cccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685125,7.68,Cc1ccc(F)cc1-c1ccc2cc(Nc3cccc(=O)[nH]3)ncc2c1
CHEMBL255738,6.9025,O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccc(F)cc1
CHEMBL3685196,7.57,O=C(Nc1ccc(F)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1)C1CCOCC1
CHEMBL2397810,5.57,Fc1ccc(F)c(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1
CHEMBL475740,6.66,CSc1nc(NCc2ccc(F)cc2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1
CHEMBL3685146,10,Cc1cc(Cl)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL2397815,5.32,COc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1
CHEMBL3685180,10.7,Cc1cc(CO)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685022,8.52,Cc1n[nH]c(C)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685163,9.1,O=C(Nc1cc2ccc(-c3cc(CO)ccc3F)cc2cn1)C1CC1
CHEMBL3288854,6.92,Cc1[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c(C)c1NC(=O)CCN1CCN(C)CC1
CHEMBL3689671,9.15,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(OC2CCNCC2)n1
CHEMBL3689677,9.4,Cc1ccncc1-c1cc2cnc(NC(=O)C3CC3F)cc2cn1
CHEMBL238304,6.96,CSc1nc(NCCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1
CHEMBL3689743,9.78,Cc1cc[n+]([O-])cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685004,7.41,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CCCCC3)ncc2c1
CHEMBL3685100,8.7,Cc1ccc(F)cc1-c1ccc2c(Cl)c(NC(=O)C3CC3)ncc2c1
CHEMBL3689551,9,CC(C)[S+]([O-])c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL411043,6.41,ClC(Cn1ncc2c(NCc3ccccc3)ncnc21)c1ccccc1
CHEMBL3685175,8.7,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685156,8.52,Cc1ncc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL454922,6.28,CCCCNc1nc(SCCC)nc2c1cnn2CC(Cl)c1ccccc1
CHEMBL3689584,9.7,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3c3ccc(CN(C)C)cc3)ncc2c1
CHEMBL3689720,9.8,O=C(Nc1cc2ccc(-c3cc(F)cc4[nH]ncc34)cc2cn1)C1CC1
CHEMBL235758,6.7,CSc1nc(NCCc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3689649,10.1,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(C)n1
CHEMBL3689653,9.7,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(CO)n1
CHEMBL3685036,9,Cc1ncccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685147,10.15,O=C(Nc1cc2ccc(-c3cnccc3Cl)cc2cn1)C1CC1
CHEMBL3685071,7.38,Cc1ccc(F)cc1-c1ccc2cc(NS(=O)(=O)C3CC3)ncc2c1
CHEMBL406658,7.1,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Cl)cc2)cc1
CHEMBL209617,6.22,O=C1NN(c2ccc(I)cc2)C(=O)C1=Cc1ccccc1
CHEMBL83847,6.4,CCN(CC)c1nc(SC)nc2c1cnn2CC(Cl)c1ccccc1
CHEMBL455163,6.26,CCOCCNc1nc(SC)nc2c1cnn2CC(Br)c1ccccc1
CHEMBL3639885,9.69,Cc1cccc(C)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL270958,6.14,Fc1ccccc1CNc1ncnc2c1cnn2CC(Cl)c1ccccc1
CHEMBL3639840,10.7,Cc1c(F)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3394092,6.92,ClC(Cn1ncc2c(Nc3cccc(Br)c3)nc(SCCN3CCOCC3)nc21)c1ccccc1
CHEMBL3685187,9.7,Cc1ccncc1-c1ccc2cc(Nc3cccc(CO)n3)ncc2c1
CHEMBL3689716,7.38,CC1CC(C)N1c1ccc2cc(NC(=O)C3CC3F)ncc2c1
CHEMBL3617738,6.14,O=C(CCCCCC(=O)N1CCCC1c1ccco1)Nc1cccc(Nc2nccc(Nc3cc(C4CC4)[nH]n3)n2)c1
CHEMBL3689560,8.7,Cc1nc(N)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685161,8.7,O=C(Nc1cc2ccc(-c3cccc(CO)c3)cc2cn1)C1CC1
CHEMBL3689705,7.71,O=C(Nc1cc2ccc(-c3c(Cl)cccc3C(F)(F)F)cc2cn1)C1CC1
CHEMBL3689752,7.62,Cc1ncc(C(=O)NC2CCC2)cc1-c1ccc2cc(N)ncc2c1
CHEMBL3689660,9.52,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(S(C)(=O)=O)n1
CHEMBL3685141,7.92,CC(C)COc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689648,9.4,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c[n+]1[O-]
CHEMBL235756,6.64,CSc1nc(NCCc2cccc(F)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3685035,10,Cc1cccnc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL1775046,6.18,Clc1ccc(C(Cl)Cn2ncc3c(NCc4ccncc4)ncnc32)cc1
CHEMBL3689676,9.4,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(C2CCOC2)n1
CHEMBL3685164,8.15,CCOc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689691,9.1,Cc1nc(Cl)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL272288,6.78,O=C(Nc1nnc(SCc2cccc(F)c2)s1)c1ccc(F)cc1
CHEMBL3685098,9.05,Cc1ccc(C(N)=O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL2397798,6.18,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(Br)c4)ncnc32)cc1
CHEMBL3689659,9.52,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(-c2ccnn2C)n1
CHEMBL3685150,9.22,O=C1Cc2c(cccc2-c2ccc3cc(NC(=O)C4CC4)ncc3c2)N1
CHEMBL412298,7.4,Fc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccccc2)c1
CHEMBL3684996,6.86,Clc1ccccc1-c1ccc2cc(Nc3ncccn3)ncc2c1
CHEMBL207986,5.89,O=C(Nc1nnc(CCc2ccccc2)s1)c1ccccc1I
CHEMBL3685056,10.7,Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689696,10.15,Cc1cccc(F)c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689599,8,Cc1ccc(NS(=O)(=O)C2CCCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL508027,6.49,CCCCNc1nc(SC)nc2c1cnn2CC(Br)c1ccccc1
CHEMBL3689668,9.7,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(C(C)(C)O)n1
CHEMBL1775044,6.14,CCCNc1nc(S(C)(=O)=O)nc2c1cnn2C=Cc1ccccc1
CHEMBL3685095,10.52,Cc1cc(F)c(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685113,8.7,CCN1CCC(C(=O)Nc2cc3ccc(-c4cc(F)ccc4C)cc3cn2)CC1
CHEMBL3689719,10.14,O=C(Nc1cc2ccc(-c3cccc4[nH]nnc34)cc2cn1)C1CC1
CHEMBL3685068,10.22,N#Cc1cc(F)ccc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689718,9.77,Cc1c(F)cncc1-c1cc2cnc(NC(=O)C3CC3F)cc2cn1
CHEMBL507594,5.85,CSc1nc(N2CCCC2)c2cnn(CC(Br)c3ccccc3)c2n1
CHEMBL3689744,7.38,Cc1ccncc1-c1cc2c[n+]([O-])c(NC(=O)C3CC3F)cc2cn1
CHEMBL3685118,9.05,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)CC3CC3)ncc2c1
CHEMBL3685045,9.7,Cc1ccc(C#N)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685065,7.48,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C(F)(F)F)ncc2c1
CHEMBL3685165,8.22,O=C(Nc1cc2ccc(OCCO)cc2cn1)C1CC1
CHEMBL3689669,9,Cc1c2cc(NC(=O)C3CC3)ncc2cc(-c2ccccc2Cl)[n+]1[O-]
CHEMBL3689641,8.7,COc1nc(-c2ccccc2Cl)cc2cnc(NC(=O)C3CC3)cc12
CHEMBL3685143,8.4,Nc1cncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1
CHEMBL3689735,7.47,Cc1cc(C(O)C(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3F)ncc2c1
CHEMBL3689620,9.15,Cc1ccncc1-c1ccc2c(C#N)c(NC(=O)C3CC3)ncc2c1
CHEMBL3689585,8.7,COCC(=O)Nc1ccc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c1
CHEMBL3685055,10.15,N#Cc1cc(F)c(F)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685020,10.52,Cc1ccncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689702,8.86,O=C(Nc1cc2ccc(-c3ccncc3Cl)cc2cn1)C1CC1
CHEMBL3685198,9.22,Cc1ccc(NC(=O)C2CCCO2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685138,9.15,CC(C)Nc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL475739,6.01,CSc1nc(N2CCOCC2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1
CHEMBL3685042,8.52,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)CC(F)(F)F)ncc2c1
CHEMBL3685170,9.125,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3C)ncc2c1
CHEMBL3685191,9.4,O=C(Nc1cc2ccc(-c3cnccc3CO)cc2cn1)C1CC1
CHEMBL3689589,9,O=C(Nc1cc2ccc(-c3cccc4[nH]cnc34)cc2cn1)C1CC1
CHEMBL3689707,9.51,O=C(Nc1cc2ccc(-c3ccccc3Cl)cc2cn1)C1CC1
CHEMBL1785021,5.8,CCOc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2c1
CHEMBL3685129,8.4,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)N3CCN(C)CC3)ncc2c1
CHEMBL1629808,7.19,CSc1nc(NCc2cccc(Br)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3685126,8.4,Cc1ncc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cc1F
CHEMBL255165,6.68,O=C(Nc1nnc(SCc2ccc([N+](=O)[O-])cc2)s1)c1ccc(F)cc1
CHEMBL3689539,9.4,CN1CCN(Cc2ccc(C(=O)Nc3ccc(Cl)c(-c4ccc5cc(NC(=O)C6CC6)ncc5c4)c3)cc2)CC1
CHEMBL475337,6.41,CCCCNc1nc(SC)nc2c1cnn2CC(Cl)c1ccc(Cl)cc1
CHEMBL3689576,9.4,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(N)ncc2c1
CHEMBL3685087,9.15,O=C(Nc1cc2ccc(-c3ccc[nH]3)cc2cn1)C1CC1
CHEMBL3685039,6.62,O=C(Nc1cc2ccc(N3CCNCC3)cc2cn1)C1CC1
CHEMBL3689698,9.46,O=C(Nc1cc2ccc(-c3cc(F)ccc3F)cc2cn1)C1CC1
CHEMBL2397804,7.68,Clc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1
CHEMBL402568,7.04,O=C(Nc1nnc(SCc2ccc([N+](=O)[O-])cc2)s1)c1ccc(Cl)cc1
CHEMBL3685123,9,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)NC(C)C)ncc2c1
CHEMBL3689596,10.11,Cc1cc(C(O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689561,7.38,Cc1c(NC(=O)C2CCOCC2)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685185,7.89,CC(C)(C)Oc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685166,9.1,CC(CO)Cc1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689755,7.47,Cc1ccc(C(=O)NC2(C)CCC2)cc1-c1ccc2c(Cl)c(N)ncc2c1
CHEMBL3685012,9,Nc1ccc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cn1
CHEMBL376993,5.7,COc1cc(SC)ccc1C(=O)Nc1nnc(CCc2ccccc2)s1
CHEMBL3685105,8.3,O=C(Nc1cc2ccc(Oc3ccccc3Cl)cc2cn1)C1CC1
CHEMBL3689606,10,Cc1ncc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL1165511,5.9825,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1
CHEMBL238774,6.62,Clc1cccc(Nc2ncnc3c2cnn3CC(Cl)c2ccccc2)c1
CHEMBL3685040,7.8,Cn1c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cccc1=O
CHEMBL3689712,7.66,CCCS(=O)(=O)Nc1ccc(F)c(-c2ccc3cc(NC(C)=O)ncc3c2)c1F
CHEMBL3685149,8.05,Cn1ncc2c(-c3ccc4cc(NC(=O)C5CC5)ncc4c3)cccc21
CHEMBL3689617,7.4,Cc1ccc(C(=O)N2CCOCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL2397812,5.52,ClC(Cn1ncc2c(NCc3ccc(Br)cc3)ncnc21)c1ccc(Br)cc1
CHEMBL271010,6.39,O=C(Nc1nnc(SCc2ccc(F)cc2)s1)c1ccccc1Cl
CHEMBL3689637,9.52,O=C(Nc1cc2cnc(-c3ccccc3Cl)cc2cn1)C1CC1
CHEMBL3689581,7.7,Cc1cc(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)c(C)cn1
CHEMBL3685076,7.7,Cc1ccc(C(F)(F)F)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689655,9.7,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(-c2cccnc2)n1
CHEMBL3639884,8.4,Cc1cnc(CO)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689552,9,CC(C)S(=O)(=O)c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL401447,6.82,CCCSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL238561,7.22,CSc1nc(Nc2cccc(Br)c2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3689674,8.3,CNCc1nc(-c2cc(F)ccc2C)cc2cnc(NC(=O)C3CC3)cc12
CHEMBL1775047,5.8,Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccncc4)ncnc32)cc1
CHEMBL3689700,9.94,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3689632,10,Cc1cc(C(O)C(F)(F)F)ncc1-c1ccc2cc(NC(=O)C3CC3F)ncc2c1
CHEMBL2397796,7.26,Fc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1
CHEMBL3685115,9.15,Cc1ccc(F)cc1-c1ccc2c(F)c(NC(=O)C3CC3)ncc2c1
CHEMBL1836681,5.31,Fc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1
CHEMBL2397809,5.6,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)cc1
CHEMBL3685007,7.82,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3(F)CC3)ncc2c1
CHEMBL3689666,10,Cc1ccc(F)cc1-c1cc2cnc(NC(=O)C3CC3)cc2c(-c2cnn(C)c2)n1
CHEMBL3685090,7.38,Cc1ccc(F)cc1-c1ccc2cc(NC(C)C(F)(F)F)ncc2c1
CHEMBL3685019,9.4,CC(C)Oc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685049,10.025,Cc1ccc(F)cc1-c1ccc2cc(NC(=O)C3CC3F)ncc2c1
CHEMBL3685060,9.15,Cc1cc(C)c(-c2ccc3cc(NC(=O)C4CC4)ncc3c2)cn1
CHEMBL473923,6.55,CN(C)c1nc(N2CCOCC2)c2cnn(CC(Cl)c3ccccc3)c2n1
CHEMBL3685097,10.05,O=C(Nc1cc2ccc(-c3ccc(F)c(O)c3)cc2cn1)C1CC1
CHEMBL206046,6.4,O=C(Nc1nnc(CCc2ccccc2)s1)c1ccc(I)cc1
CHEMBL3685186,9.52,Cc1ccc(NC(=O)c2ccc(C(C)N(C)C)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL1836677,6.11,CSc1nc(NCc2ccccc2Cl)c2cnn(CC(C)c3ccccc3)c2n1
CHEMBL3685179,10.4,Cc1c(O)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685082,7.57,O=C(Nc1cc2ccc(OC3CCCCC3)cc2cn1)C1CC1
CHEMBL402891,6.71,COc1ccc(CSc2nnc(NC(=O)c3ccc(F)cc3)s2)cc1
CHEMBL3685051,7.47,CCn1nccc1C(=O)Nc1cc2ccc(-c3cc(F)ccc3C)cc2cn1
CHEMBL3685154,9.05,Cc1cc(N)ncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
CHEMBL3685184,9.7,Cc1c(CO)cncc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1
